Unit Code	Short Unit Title
ALHT104	FOUNDATIONS OF PARAMEDIC PRAC
ALHT105	PARA PRAC:RESPITORY EMERG
ALHT200	CONTEXTS OF PARAMEDICINE 1
ALHT201	CONTEXTS OF PARAMEDICINE 2
ALHT202	PARAMEDIC PRACTICE 3
ALHT203	TRAUMATOLOGY IN PARAMEDICINE
ALHT204	TRAUMATOLOGY IN PARAMED PRAC
ALHT205	PARA PRAC:ENV & ENDROCINE EMER
ALHT206	INTEGRATED PRACTICE IN PARAMED
ALHT207	PARAMEDIC PRAC: MENTAL HEALTH
ALHT208	PARA PRAC: NEURO EMERGENCIES
ALHT209	PARA PRAC: CARDIO EMERGENCIES
ALHT301	CONTEXTS OF PARAMEDICINE 3
ALHT302	PARA PRAC:CARDIO EMERGENCIES
ALHT303	PARA PRAC:OBSTET & PAED EMERG
ALHT304	SYNERGY IN PARAMEDIC PRACTICE
ALHT305	PRE-HOSPITAL MAJ INCIDENT MAN
ALHT306	PARAMEDIC PRACTITIONER HEALTH
ALHT307	PARA PRAC:GASTRO & RENAL EMERG
ALHT308	PARAMEDIC PRAC: EMERGENCY DEPT
ALHT401	CONTEXTS OF PARAMEDICINE 4
ALHT402	SYNERGY IN PARAMEDICINE
ALHT403	PRE-HOSPITAL MAJ INCIDENT MAN
APIS100	INTRODUCTION TO ISLAM
APIS101	APPROACHES TO QUR'AN & HADITH
APIS200	ISLAMIC FAITH & CREEDS: ETHICS
APIS201	SUFISM: SPIRITUAL JOURNEYS
APIS202	ISLAM IN WESTERN SCHOLARSHIP
APIS203	QUR'ANIC RECITATION
APIS204	ISLAM: SPECIAL STUDIES
APIS205	COMMUNITY EXPERIENCE
APIS300	MUSLIM SECTS & SYST OF THOUGHT
APIS301	ISLAMIC LAW: LEGAL TRADI & SOC
ARTS107	THE ARTS & CULTURE
ARTS108	INTRODUCTION TO DRAWING
ARTS109	2D STUDIES 1
ARTS110	3D/4D OBJECT DESIGN 1
ARTS111	GRAPHIC DESIGN 1
ARTS112	ART & DESIGN HIST & THEORY 1
ARTS113	2D STUDIES 2
ARTS114	3D/4D OBJECT DESIGN 2
ARTS115	GRAPHIC DESIGN 2
ARTS116	ART & DESIGN HIST & THEORY 2
ARTS225	2D STUDIES 3
ARTS226	3D/4D OBJECT DESIGN 3
ARTS227	GRAPHIC DESIGN 3
ARTS228	ART & DESIGN HIST & THEORY 3
ARTS230	STUDIO THEORY
ARTS231	ART & DESIGN HIST & THEORY 4
ARTS232	LEARNING IN THE COMMUNITY
ARTS234	3D/4D OBJECT DESIGN 1
ARTS235	ART & DESIGN HIST. & THEORY 1
ARTS236	3D/4D OBJECT DESIGN 2
ARTS237	ART & DESIGN HIST. & THEORY 2
ARTS238	2D STUDIES 4
ARTS239	3D/4D OBJECT DESIGN 4
ARTS240	GRAPHIC DESIGN 4
ARTS324	ART AND SPIRIT
ARTS325	PROFESSIONAL PRACTICE
ARTS326	INTERNSHIP
ARTS327	SELF-DIRECTED STUDIES 1
ARTS329	SELF-DIRECTED STUDIES 2
ARTS405	PRAC OF RESEARCH ART & DESIGN
ARTS406	ISSUES ETHICAL PRAC ART & DESG
ARTS407	ADVANCED STUDIES ART & DESIGN
ARTS408	RES THESIS/RES STUDIO PRACT A
ARTS409	RES THESIS/RES STUDIO PRACT B
ARTS500	ART AND DESIGN SEMINAR
ARTS501	MKTG & PROMOTION: ART & DESIGN
ARTS502	PRAC OF RESEARCH: ART & DESIGN
ARTS503	ETHICAL PRAC IN ART & DESIGN
ARTS504	GRAPHICS AND MULTIMEDIA 1
ARTS505	GRAPHICS AND MULTIMEDIA 2
ARTS506	STUDIO PRACTICE 1
ARTS507	STUDIO PRACTICE 2
ARTS600	ART, DESIGN AND NEW MEDIA
ARTS601	ART, DESIGN & CULTURAL DIFF
ARTS602	DESIGN STUD:INTEGRATED DESIGN
ARTS603	ADV DESIGN STUDIO:GRAPHC/MULTI
ARTS604	DESIGN STUDIO PROJECT 1
ARTS605	DESIGN STUDIO PROJECT 2
ARTS606	ADVANCED STUDIO PRACTICE 1
ARTS607	ADVANCED STUDIO PRACTICE 2
ARTS608	STUDIO PROJECT 1
ARTS609	STUDIO PROJECT 2
ASGU200	SPECIAL STUDIES
ASGU201	SPECIAL STUDIES
ASGU202	SPECIAL STUDIES
ASGU203	SPECIAL STUDIES
ASGU600	SPECIAL STUDIES
ASGU601	SPECIAL STUDIES
ASGU602	SPECIAL STUDIES
ASGU603	SPECIAL STUDIES
ASOA010	APPROVED INTERNATNL UNIT STUD
ASOA011	APPROVED INTERNATNL UNIT STUD
ASOA012	APPROVED INTERNATNL UNIT STUD
ASOA013	APPROVED INTERNATNL UNIT STUD
ASOA020	APPROVED INTERNATIONAL UoS
ASOA021	APPROVED INTERNATIONAL UoS
ASOA022	APPROVED INTERNATIONAL UoS
ASOA023	APPROVED INTERNATIONAL UoS
ASOB010	APPROVED INTERNATNL UNIT STUD
ASOB011	APPROVED INTERNATNL UNIT STUD
ASOB012	APPROVED INTERNATNL UNIT STUD
ASOB013	APPROVED INTERNATNL UNIT STUD
ASOB020	APPROVED INTERNATIONAL UoS
ASOB021	APPROVED INTERNATIONAL UoS
ASOB022	APPROVED INTERNATIONAL UoS
ASOB023	APPROVED INTERNATIONAL UoS
BAFI602	FINAN ANALYSIS & BUS VALUATION
BAFN200	PRINCIPLES OF FINANCE
BAFN203	PERSONAL FINANCIAL PLANNING
BAFN204	PORTFOLIO MANAGEMENT
BAFN205	FINANCIAL INSTRUMTS&INSTITUTNS
BAFN301	FINANCIAL INSTITUTIONS MGMT
BAFN302	INTERNATIONAL BUSINESS FINANCE
BAFN303	DERIVATES INVESTMENT
BAFN304	SUPERANNUATION&RETIREMENT PLAN
BAFN305	RISK MANAGEMENT & INSURANCE
BAFN600	FINANCE & QUANTITATIVE METHODS
BAFN601	INTERNATIONAL FINANCE
BEHV108	HUMAN DEVELOPMENT
BEHV202	CROSS-CULTURAL PSYCHOLOGY
BEHV216	DEVELOPMENTAL ISSUES
BEHV326	INDEPENDENT RESEARCH PROJECT
BEHV327	THE BEHAVIOUR CHALLENGE
BEHV328	MAINTAINING POSITIVE BEHAVIOUR
BIOL101	BIODIVERSITY
BIOL102	PRINCIPLES OF ECOLOGY
BIOL111	HUMAN SYSTEMS
BIOL117	APPLIED SCIENCE FOR PRACTICE 1
BIOL118	APPLIED SCIENCE FOR PRACTICE 2
BIOL119	FOUNDATION BIOLOGICAL SCIENCE1
BIOL120	FOUNDATION BIOLOGICAL SCIENCE2
BIOL121	HUMAN BIOLOGICAL SCIENCE 1
BIOL122	HUMAN BIOLOGICAL SCIENCE 2
BIOL217	HUMAN GENETICS
BIOL227	VEGETATION ECOLOGY
BIOL228	APPLIED SCIENCE FOR PRACTICE 3
BIOL229	APPLIED SCIENCE FOR PRACTICE 4
BIOL230	HUMAN NUTRITION
BIOL304	ECOTOXICOLOGY
BIOL312	CONSERVATION & SUSTAINABILITY
BIOL324	ANIMAL ECOLOGY
BIOL326	APPLIED SCIENCE FOR PRACTICE 5
BIOL327	MARINE AND COASTAL ECOLOGY
BIOL328	MICROBIOLOGY AND BIOTECHNOLOGY
BIPX100	PROFESSIONAL EXPERIENCE A
BIPX200	PROFESSIONAL EXPERIENCE 2
BIPX201	BUSINESS EXPERIENCE
BIPX300	PROFESSIONAL EXPERIENCE 3
BIPX301	PROFESSIONAL EXPERIENCE B
BIPX302	PROFESSIONAL EXPERIENCE C
BUOA010	APPROVED INTERNATL UNIT STUDY
BUOA011	APPROVED INTERNATL UNIT STUDY
BUOA012	APPROVED INTERNATL UNIT STUDY
BUOA013	APPROVED INTERNATNL UNIT STUDY
BUOA020	APPROVED INTERNATL UNIT STUDY
BUOA021	APPROVED INTERNATNL UNIT STUDY
BUOA022	APPROVED INTERNATL UNIT STUDY
BUOA023	APPROVED INTERNATNL UNIT STUDY
BUOB010	APPROVED INTERNATNL UNIT STUDY
BUOB011	APPROVED INTERNATNL UNIT STUDY
BUOB012	APPROVED INTERNATNL UNIT STUDY
BUOB013	APPROVED INTERNATNL UNIT STUDY
BUOB020	APPROVED INTERNATNL UNIT STUDY
BUOB021	APPROVED INTERNATNL UNIT STUDY
BUOB022	APPROVED INTERNATNL UNIT STUDY
BUOB023	APPROVED INTERNATNL UNIT STUDY
BUSN100	REASONING & COMMUNICATION
BUSN101	COMMUNICATING IN BUSINESS
BUSN110	RESPONSIBLE REASONING & COMM.
BUSN201	INTERNATIONAL BUSINESS
BUSN202	PROFESSIONAL ETHICS
BUSN203	BUSINESS ETHICS
BUSN204	SMALL BUSINESS GOVERNANCE
BUSN205	GLOBALISATION - INDIG BUSINESS
BUSN207	ETHICS & SOCIAL RESPONSIBILITY
BUSN302	INTERNATIONAL TRADE
BUSN303	INTER GOVERN & SUSTAINABILITY
BUSN306	INTERNATIONAL FIELD PROJECT
BUSN401	RESEARCH METHODS
BUSN402	ADVANCED BUSINESS COURSEWORK 1
BUSN405	HONOURS PROPOSAL
BUSN406	HONOURS THESIS (FULL-TIME)
BUSN408	HONOURS THESIS A (PART-TIME)
BUSN409	HONOURS THESIS B (PART-TIME)
BUSN410	HONOURS THESIS C (PART-TIME)
BUSN411	ADVANCED BUSINESS COURSEWORK 2
BUSN600	INTERATIONAL BUSINESS ENVIRONM
BUSN601	BUSINESS RESEARCH PROJECT
BUSN602	MONEY MANAGEMENT
BUSN603	CORP GOVERN & SOCIAL RESPONSIB
BUSO204	INTERNATIONAL AFFAIRS
BUSO207	ETHICS & SOCIAL RESPONSIBILTY
BUSO603	CORP GOVERNANCE & SOC RESPONS
BUSO606	INTERNATIONAL FIELD PROJECT
CHEM100	FUNDAMENTALS OF CHEMISTRY
