Unit Code	Short Unit Title
EDFD127	CONTEXTS FOR LEARN'G & DEV
EDFD133	UNDERSTANDING LEARNING
EDFD134	INDEPENDENT STUDY A
EDFD136	EARLY CHLD 2:ECOL OF CHILDHOOD
EDFD167	CONTEXTS FOR LEARN'G & DEV
EDFD173	UNDERSTANDING LEARNING
EDFD177	CONTEXTS FOR LEARN'G & DEV
EDFD204	CATHOLIC EDUCATION & SCHOOLING
EDFD210	GLOBAL PERSPECTIVES IN EDUCN
EDFD212	PROFESSIONAL ETHICS EDUCATION
EDFD213	TECHNOLOGY AND LEARNING
EDFD218	PREP FOR CONTEXTS OF FIELD
EDFD220	TEACH'G & MAN'G LEARN'G ENVIR
EDFD221	CREAT'G INC' SAFE & SUPP SCHLS
EDFD224	INDEPENDENT STUDY B
EDFD227	EARLY CHLD3:PARTNSHP FOR LEARN
EDFD260	TEACH'G & MAN'G LEARN'G ENVIR
EDFD261	CREAT'G INC' SAFE & SUPP SCHLS
EDFD268	PREP FOR CONTEXTS OF FIELD
EDFD270	TEACH'G & MAN'G LEARN'G ENVIR
EDFD271	CREAT'G INC' SAFE & SUPP SCHLS
EDFD307	EDUCATIONAL ASSESSMENT
EDFD311	INDEPENDENT STUDY C
EDFD314	EARLY CHILD ED5:EARLY CHILD LE
EDFD444	THE MIDDLE YEARS OF SCHOOLING
EDFD447	DIVERSITY IN THE CLASSROOM
EDFD449	ED SYSTEMS INTL CULT CONTEXT
EDFD452	TRANSITION INTO THE PROFESSION
EDFD453	SOC & CULT'L CONTEXTS OF ED
EDFD454	CURRICULUM LITERACIES
EDFD457	ACTION RES AS REFLECTIVE PRAC
EDFD458	CATER FOR DIVERSITY IN CLASSRM
EDFD459	THE LEARNING SPACE
EDFD460	CREATIVITY & IMAGINATION IN ED
EDFD462	TRANSITION INTO THE PROFESSION
EDFD466	EXTENDING LEARNING UNI PROJECT
EDFD468	CATER FOR DIVERSITY IN CLASSRM
EDFD470	MANAGING CHALLENGING BEHAVIOUR
EDFD472	TRANSITION INTO THE PROFESSION
EDFD477	ACTION RES:REFLECTIVE PRACTICE
EDFD497	DIVERSITY IN THE CLASSROOM
EDFD506	EVALUATION & MEASUREMENT
EDFD507	HUM DEV: EDUCATIONAL SETTINGS
EDFD508	PAKISTANI PERSPECTIVES OF EDUC
EDFD509	SCHOOL ORGANISATION & MGT
EDFD510	EDUCATIONAL SOCIOLOGY
EDFD511	CLASSROOM TEACHING & MANAGEMNT
EDFD527	DIVERSITY IN THE INCLUS CLASS
EDFD528	SOC & CULT CONTEXT:DEV & LEARN
EDFD529	EFFECTIVE TEACHING & PROF PRAC
EDFD532	ACTION RES:REFLECTIVE PRACTICE
EDFD546	DEVELOPMENT & LEARNING
EDFD547	DIVERSITY IN THE CLASSROOM
EDFD548	EFFECTIVE TEACH'G & PROF PRAC
EDFD549	ED SYSTEMS INTL CULT CONTEXT
EDFD553	SOC & CULT'L CONTEXTS OF ED
EDFD589	EFFECTIVE TEACHING & PROF PRAC
EDFD601	CURRICULUM PLANNING AND DEV
EDFD604	MANAGING CHALLENGING BEHAVIOUR
EDFD607	LEADING EDUCATNAL INNOVATIONS
EDFD617	RESEARCH PROJECT
EDFD624	PERSPECTIVES & ISSUES IN ED
EDFD625	PSYCH & ED: TEACH&LEARN ISSUES
EDFD626	ED RESEARCH METHODOLOGIES
EDFD627	RESEARCH PROJECT
EDFD628	EDUCATION CHANGE & DEVELOPMENT
EDFD633	METHODS OF EDUCAT'L RESEARCH
EDFD647	NURTURING CONNECTIONS EARLY YR
EDFD648	ENGAG LEARN IN THE EARLY YEARS
EDFD649	RESEARCH PROJECT PART 1
EDFD650	RESEARCH PROJECT PART 2
EDFD651	SOC JUST: WHOLE SCHL APPROACH
EDFD652	ISSUE IN WELLBEING IN INCL SCH
EDFD653	FOUND IN SOC & EMOT LEARNING
EDFD655	METHODS OF ED. RESEARCH
EDFD656	WELLBEING FOR EDUCATORS
EDFD657	TRANS TO PROF: INT CURR PROG
EDFD658	INTERP & DESIGNING EDUC RSCH
EDFD659	LEADING TEACHING & LEARNING
EDFD660	UNDERSTANDING CHOOD&LEARN
EDFD662	WELLBEING& INCLUSIVE SCHOOLING
EDFD663	ISSUES IN THE PROFESSION
EDFD667	GIFTED ED:CONTEXTS & ISSUES
EDFD668	INTERPR&DESIGNING ED. RESEARCH
EDFD669	GIFTED ED: PROFILG PROV&PARTN
EDFD670	LEADERSHIP & ADVOC GIFTED ED
EDFD688	INTERP & DESIGNING EDUC RSCH
EDFD705	RES PROB EXPLORATION IN CONTXT
EDFD706	LITERATURE & THEORTCL CRITIQUE
EDFD707	RES PARADIGMS: METHODOL & METH
EDFX110	PROF EXPERIENCE PRIMARY 1
EDFX111	PROF EXP EARLY CHILDHOOD 1
EDFX112	PROF EXP EARLY CHILDHOOD 1A
EDFX113	PROF EXP EARLY CHILDHOOD 1B
EDFX170	PROFESSIONAL EXPERIENCE 1
EDFX207	COMMUNITY ENGAGEMENT PROGRAM
EDFX212	PROFESSIONAL EXP PRIMARY 2A
EDFX213	PROFESSIONAL EXP PRIMARY 2B
EDFX214	PROFESSIONAL EXP SECONDARY 2
EDFX215	PROF EXP EARLY CHILDHOOD 2
EDFX216	PROFESSIONAL EXP PRIMARY 2
EDFX217	PROF EXP EARLY CHILDHOOD 2A
EDFX218	PROF EXP EARLY CHILDHOOD 2B
EDFX267	COMMUNITY ENGAGEMENT PROGRAM
EDFX277	COMMUNITY ENGAGEMENT PROGRAM
EDFX310	PROFESSIONAL EXP PRIMARY 3
EDFX311	PROFESSIONAL EXP SECONDARY 3
EDFX312	PROFESSIONAL EXP SECONDARY 3A
EDFX313	PROFESSIONAL EXP SECONDARY 3B
EDFX314	PROF EXP EARLY CHILDHOOD 3
EDFX315	PROF EXP EARLY CHILDHOOD 3A
EDFX316	PROF EXP EARLY CHILDHOOD 3B
EDFX317	PROFESSIONAL PRACTICE
EDFX400	FIELD EXPERIENCE 4
EDFX409	INTERNSHIP
EDFX413	PROF EXP PRIM 4:EXT REFLEC PRA
EDFX414	EXTENDED REFLECTIVE PRACTICE
EDFX415	PROF EXP PRIM 4: INTERNSHIP 1
EDFX417	PROFESSIONAL TRANSITION
EDFX473	PROFESSIONAL EXPERIENCE 4
EDFX500	FIELD EXPERIENCE A
EDFX501	FIELD EXPERIENCE B
EDFX503	GRADUATE PROF EXP SECONDARY 1
EDFX504	GRADUATE PROF EXP SECONDARY 2
EDFX506	GRADUATE PROF EXP PRIMARY 1
EDFX507	GRADUATE PROF EXP PRIMARY 2
EDFX508	EXTENDED REFLECTIVE PRACTICE
EDFX509	GRADUATE PROF EXP PRIMARY 3
EDFX510	GRADUATE PROF EXP PRIMARY 4
EDFX511	GRAD PROFESSIONAL PRAC SEC 1
EDFX512	GRAD PROFESSIONAL PRAC SEC 2
EDFX513	GRAD PROFESSIONAL EXP SEC 3
EDFX600	GRADUATE PROFESSIONAL EXP
EDLA107	LINGUISTICS FOR LITERACY
EDLA108	CHILDRENS LIT. FOR LITERACY
EDLA167	LINGUISTICS FOR LITERACY
EDLA168	CHILDRENS LIT. FOR LITERACY
EDLA203	LITERACY IN THE EARLY YEARS
EDLA204	LITERACY EDUCATION 1
EDLA264	LITERACY EDUCATION 1
EDLA309	LITERACY EDUCATION 2
EDLA369	LITERACY EDUCATION 2
EDLA403	CHILDREN & LITERATURE
EDLA413	TESOL TECHNIQUES
EDLA430	CROSS-CURR USES OF CHN'S LIT
EDLA439	ENGLISH C&T 2
EDLA440	ESL C & T 1
EDLA441	ESL C & T 2
EDLA450	LANGUAGE & LITERACY EDUCATION
EDLA478	ENGLISH C&T 1
EDLA479	ENGLISH C&T 2
EDLA514	ENGLISH CURRICULUM STUDIES
EDLA517	LANGUAGE & LITERACY EDUCATION
EDLA518	LANGUAGE & LITERACY EDUC 1
EDLA519	LANGUAGE & LITERACY EDUC 2
EDLA520	THE NATURE OF ENGLISH
EDLA521	TESOL IN PRACTICE
EDLA522	LITERACY FOR TESOL
EDLA523	ACCESSING LEARNER NEEDS
EDLA538	ENGLISH C&T 1
EDLA539	ENGLISH C&T 2
EDLA540	ESL C & T 1
EDLA541	ESL C & T 2
EDLA604	LITERACY & LEARNING ACROSS CUR
EDLA612	ASSES & CURRIC DESIGN TESOL
EDLA614	LANGUAGE, CULT & COMMUNICATION
EDLA615	LITERACY IN THE EARLY YEARS
EDLA616	LIT. FOR CHILD'N & YNG ADULTS
EDLA618	TEACHING STRATEGIES FOR TESOL
EDLA619	LANGUAGE AND LEARNING
EDLA625	LIT.ED IN CONTEMP SOCIETY
EDLA626	WAYS OF MEAN: LANGUAGE IN ED
EDLE601	HR MANAGEMENT AND DEVELOPMENT
EDLE602	HUMAN RESOURCE MANAGEMENT
EDLE605	LEADING EDUCATIONAL CHANGE
EDLE622	THEORY&PRAC-ED ADMIN/LEADERSHP
EDLE628	ED PLAN FOR CHANGE AND DEV
EDLE632	LEADERSHIP SPIRITUALITY
EDLE633	LEADING AUTHENTIC LEARNING
EDLE634	EMP'MENT REL'S & LEGL CONT ED
EDLE636	LEADING THE CATHOLIC SCHOOL
EDLE638	FAITH LEADERSHIP
EDLE639	EDUCATION POLICY & GOVERNANCE
EDLE640	PERSPECTIVES ON LEADERSHIP
EDLE641	VALUES AND LEADERSHIP
EDLE642	LEADERSHIP THEORY INTO PRAC.
EDLE643	PROFESSIONAL PRACTICE PROJECT
EDLE670	PERSPECTIVES ON LEADERSHI(PAK)
EDLE671	VALUES AND LEADERSHIP (PAK)
EDLE672	LEADERSHIP THEOR PRACTICE(PAK)
EDLE673	LEADING AUTHENTIC LEARN (PAK)
EDLE674	SHARED LEADERSHIP (PAK)
EDLE675	LEADING ED CHANGE (PAK)
EDLE676	LEADING CATHOLIC SCHOOL (PAK)
EDLE678	PROF PRAC PROJECT (PAK)
EDLE679	HR MANAGEMT & DEV (PAK)
EDLO302	LOTE EDUCATION 1
EDLO409	LOTE C&T 1
EDLO410	LOTE C&T 3
EDLO411	LOTE C&T 2
EDLO412	LOTE C&T 4
EDLO509	LOTE C&T 1
EDLO510	LOTE C&T 2
EDLO511	LOTE C&T 3
EDLO512	LOTE C&T 4
EDMA103	EXPLORING MATHEMATICS 1
EDMA163	EXPLORING MATHEMATICS 1
EDMA201	NUMERACY IN THE EARLY YEARS
EDMA202	MATHS: LEARNING & TEACHING 1
EDMA262	MATHS: LEARNING & TEACHING 1
EDMA309	EXPLORING MATHEMATICS 2
EDMA310	MATHS: LEARNING & TEACHING 2
EDMA360	MATHS: LEARNING & TEACHING 2
EDMA369	EXPLORING MATHEMATICS 2
EDMA401	ACTIVE LEARNING IN MATHEMATICS
EDMA410	LINKING MATHS LEARNING & TECHG
EDMA411	NUMBER DEVELOPMENT-MIDDLE SCHL
EDMA412	GEOM & MEASUREMENT-MIDDLE SCHL
EDMA413	STATS & PROBABILITY-MIDDLE SCH
EDMA414	ALGEBRA & FUNCTIONS-MIDDLE SCH
EDMA417	MATHEMATICS C & T 1
EDMA418	MATHEMATICS C & T 2
EDMA419	MATHEMATICS C & T 3
EDMA420	MATHEMATICS C & T 4
EDMA502	MATHS CURRICULUM STUDIES
EDMA504	MATHEMATICS CURRICULUM 1
EDMA505	MATHEMATICS CURRICULUM 2
EDMA511	NUMBER DEVELOP-MIDDLE SCHOOL
EDMA512	GEOM & MEASURE-MIDDLE SCHOOL
EDMA513	STATS&PROBABILITY-MIDDLE SCH
EDMA517	MATHEMATICS C & T 1
EDMA518	MATHEMATICS C & T 2
EDMA519	MATHEMATICS C & T 3
EDMA520	MATHEMATICS C & T 4
EDMA628	LEARN & LEARNERS IN MATHS
EDMA629	TEACHING & TEACHERS IN MATHS
EDMA630	TEACH&LEARN MATHS IN MIDDLE YR
EDMA631	EARLY YEARS MATHEMATICS ED
EDMU408	MUSIC C&T 1
EDMU409	MUSIC C&T 3
EDMU410	MUSIC C&T 2
EDMU411	MUSIC C&T 4
EDMU416	MUSIC EDUCATION
EDMU421	INTRO ORFF MUS & MOVEMT ED
EDMU424	ORFF APPROACH & COMM SETTINGS
EDMU501	INTRO ORFF MUS & MOVEMT ED
EDMU502	DEV MUSIC CURR USING ORFF PROC
EDMU504	ORFF APPROACH & COMM SETTINGS
EDMU508	MUSIC C&T 1
EDMU509	MUSIC C&T 2
EDMU510	MUSIC C&T 3
EDMU511	MUSIC C&T 4
EDOA010	APPROVED INTERNATIONAL UoS
EDOA011	APPROVED INTERNATIONAL UoS
EDOA012	APPROVED INTERNATIONAL UoS
EDOA013	APPROVED INTERNATIONAL UoS
EDOA020	OVERSEAS PROJECT
EDOA021	OVERSEAS PROJECT
EDOA022	OVERSEAS PROJECT
EDOA023	OVERSEAS PROJECT
EDOB010	APPROVED INTERNATIONAL UoS
EDOB011	APPROVED INTERNATIONAL UoS
EDOB012	APPROVED INTERNATIONAL UoS
EDOB013	APPROVED INTERNATIONAL UoS
EDOB020	OVERSEAS PROJECT
EDOB021	OVERSEAS PROJECT
EDOB022	OVERSEAS PROJECT
EDOB023	OVERSEAS PROJECT
EDPA100	PASTORAL CARE 1
EDPH104	PHYSICAL EDUCATION 1
EDPH204	HEALTH EDUCATION
EDPH205	MOTOR DEV: CHILDREN WITH DISAB
EDPH306	PERSONAL DEV HEALTH&PHYS ED 1
EDPH307	PERS DEV HEALTH&PHYS ED2
EDPH366	PERSONAL DEV HEALTH&PHYS ED 1
EDPH367	PERSONAL DEV HEALTH&PHYS ED 2
EDPH408	HEALTH STUDIES K-6 MOVE'T ED
EDPH411	REC & OUTDOOR ED IN PRIM SCHL
EDPH414	PHYSICAL ED C&T 1
EDPH415	PHYSICAL ED C&T 2
EDPH421	HEALTH & PHYS EDUCATION C&T 1
EDPH422	HEALTH & PHYS EDUCATION C&T 2
EDPH423	HEALTH & PHYS EDUCATION C&T 3
EDPH424	HEALTH & PHYS EDUCATION C&T 4
EDPH500	PDHPE CURRICULUM
EDPH514	PHYSICAL EDUCATION C&T 1
EDPH515	PHYSICAL EDUCATION C&T 2
EDPH521	PDH&PE CURRICULUM & TEACHING 1
EDPH522	PDH&PE CURRICULUM & TEACHING 2
EDPH523	PDH&PE CURRICULUM & TEACHING 3
EDPH524	PDH&PE CURRICULUM & TEACHING 4
EDRE101	RELIGIOUS EDUCATION 1
EDRE102	RELIGIOUS EDUCATION 2
EDRE105	RELIGIOUS EDUCATION 3
EDRE106	RELIGIOUS EDUCATION 4
EDRE161	RELIGIOUS EDUCATION 1
EDRE162	RELIGIOUS EDUCATION 2
EDRE300	RE C&T STUDIES 1
EDRE301	RE C&T STUDIES 2
EDRE309	ETHICS IN PROFESSIONAL PRAC
EDRE321	TEACHING REL STUDIES YR 11&12
EDRE427	RELIGIOUS ED C&T STUDIES 3
EDRE428	RELIGIOUS ED C&T STUDIES 4
EDRE429	FOUN STUDIES TCHG IN CATH SCHS
EDRE515	PRINCIPLES OF RELIGIOUS ED
EDRE516	RELIGIOUS ED CURRICULUM
EDRE517	LITURGY & PRAYER IN RE
EDRE519	RELIGIOUS EDUCATION & VALUES
EDRE520	RELIGIOUS EDUCATION SEMINAR
EDRE521	TEACHING REL STUDIES YR 11&12
EDRE523	RELIGIOUS ED & SOCIAL JUSTICE
EDRE524	RELIGIOUS ED AND YOUNG CHILD
EDRE526	INTRODUCING RELIGIOUS EDUCATN
EDRE527	RELIGIOUS ED C&T STUDIES 1
EDRE528	RELIGIOUS ED C&T STUDIES 2
EDRE529	TEACH'G THE CATHOLIC TRADITION
EDRE530	RELIGIOUS ED IN THE PARISH
EDRE531	EDUC & SCHOOL CHAPLAINCY
EDRE532	EDUC FOR INTER RELIG AWARENESS
EDRE621	HISTORY & THEORIES IN RE
EDRE622	CULTURAL CONTEXTS OF RE
EDRE623	CO-ORDINATION IN RELIG EDUCATN
EDRE624	CURRICULUM IN RELIGIOUS EDUCAT
EDRE626	FAITH MORAL DEV'T & VALUES ED
EDRE627	SOCIAL JUSTICE & RELIGIOUS EDU
EDRE628	CREATIVE ARTS & RELIGIOUS ED
EDRE629	SPIRITUALITY & RELIG EDUCATOR
EDRE632	TEACHING WORLD RELIGIONS
EDRE633	RELIGIOUS EDUCATION PROJECT 1
EDRE635	RELIGIOUS ED INDEPENDENT UNIT
EDRE636	RELIGIOUS EDUCATION SEMINAR
EDRE639	RELIG EDUC IN FAITH COMMUNITY
EDRE641	EARLY CHLDHD AND RELIGIOUS ED
EDSL600	LEADERSHIP IN ED. SYSTEMS
EDSL601	EDUCATIONAL SYSTEM FUTURES
EDSL602	SYS. L'SHIP ECCLESIAL CONTEXT
EDSL603	CONSULTANCY SKILLS-SYS.LEADERS
EDSL604	ED.SYSTEM DEVELOPMNT PROJECT 1
EDSL605	ED.SYSTEM DEVELOPMNT PROJECT 2
EDSS416	COM & BUS STUDIES C & T 1
EDSS417	COM & BUS STUDIES C & T 2
EDSS418	COM & BUS STUDIES C & T 3
EDSS419	COM & BUS STUDIES C & T 4
EDSS422	HUMANITIES C & T 1
EDSS423	HUMANITIES C & T 2
EDSS428	CONNECTING SOCIETY & ENVIRON
EDSS430	ECONOMICS/BUSINESS C&T 1
EDSS431	ECONOMICS/BUSINESS C&T 2
EDSS432	GEOGRAPHY CURRICULUM & TEACH 1
EDSS433	GEOGRAPHY CURRICULUM & TEACH 2
EDSS435	SOSE CURRICULUM & TEACHING 2
EDSS468	CONNECT SOCIETY & ENVIRONMENT
EDSS470	HISTORY C & T 1
EDSS471	HISTORY C & T 2
EDSS472	HUMANITIES C & T 1
EDSS473	HUMANITIES C & T 2
EDSS501	PAKISTAN CURRICULUM STUDIES
EDSS502	COMMERCE CURRICULUM STUDIES
EDSS503	HSIE/SOSE CURRICULUM
EDSS516	COM & BUS STUDIES C & T 1
EDSS517	COM & BUS STUDIES C & T 2
EDSS518	COM & BUS STUDIES C & T 3
EDSS519	COM & BUS STUDIES C & T 4
EDSS520	HISTORY C & T 1
EDSS521	HISTORY C & T 2
EDSS522	HUMANITIES C & T 1
EDSS523	HUMANITIES C & T 2
EDSS530	ECONOMICS/BUSINESS C&T 1
EDSS531	ECONOMICS/BUSINESS C&T 2
EDSS532	GEOGRAPHY CURRICULUM & TEACH 1
EDSS533	GEOGRAPHY CURRICULUM & TEACH 2
EDSS534	SOSE CURRICULUM & TEACHING 1
EDSS535	SOSE CURRICULUM & TEACHING 2
EDSS538	SOCIETY AND CULTURE C&T 1
EDSS539	SOCIETY AND CULTURE C&T 2
EDSS540	LEGAL STUDIES CURRICULUM TEACH
EDSS609	COUNS'NG FOR CAREER DEV'MNT
EDSS610	EDUCATING LIFE LONG CAREER DEV
EDSS611	PROF PRACTICE & DEVELOPMENT
EDSS612	POST MODERN GLOBAL WORKPLACE
EDST101	ENVIRONMENTAL STUDIES
EDST102	COMPUTERS IN EDUCATION 1
EDST107	SCI&TECH FOR EC&PRI TEACH 1
EDST167	SCI&TECH FOR EC&PRI TEACH 1
EDST201	SCIENCE & TECH EDUCATION
EDST204	SCI&TECH FOR EC&PRI TEACH 2
EDST261	SCIENCE & TECH EDUCATION
EDST264	SCI&TECH FOR EC&PRI TEACH 2
EDST401	EDUCATING A SUSTAINABLE FUTURE
EDST411	TCHNG WITH INFO TECHNOLOGY
EDST419	DESIGNING IT RESOURCES IN ED
EDST422	ENVIRONMENTAL EDUCATION
EDST429	EDUCATION FOR 21ST CENTURY
EDST441	ICT CURRICULUM AND TEACHING 1
EDST442	ICT CURRICULUM AND TEACHING 2
EDST443	SCIENCE C&T 1
EDST444	SCIENCE C&T 2
EDST446	SCIENCE C&T 4
EDST447	TECHNOLOGY C&T 1
EDST448	TECHNOLOGY C&T 2
EDST503	GEN SCIENCE CURRICULUM STUDIES
EDST505	CHEMISTRY CURRICULUM STUDIES
EDST506	PHYSICS CURRICULUM STUDIES
EDST507	BIOLOGY CURRICULUM STUDIES
EDST512	SCIENCE & TECHNOLOGY EDUCATION
EDST513	COMPUTER CURRICULUM STUDIES
EDST541	ICT CURRICULUM AND TEACHING 1
EDST542	ICT CURRICULUM AND TEACHING 2
EDST543	SCIENCE C&T 1
EDST544	SCIENCE C&T 2
EDST545	SCIENCE C&T 3
EDST546	SCIENCE C&T 4
EDST547	TECHNOLOGY C&T 1
EDST548	TECHNOLOGY C&T 2
EDST555	BIOLOGY CURRICULUM & TEACH 1
EDST556	CHEMISTRY CURRICULUM & TEACH 1
EDST557	PHYSICS CURRICULUM & TEACH 1
EDST605	ICT IN EDUCATION & TRAINING
EDST608	ON-LINE INSTRUCTIONAL SYSTEMS
EDST610	SUSTAINABLE WORLD: ECOLITERACY
EDST613	LEARNING SCIENCE & TECHNOLOGY
EDST614	CONTEXTS FOR TEACH SCI & TECH
EDST616	ICT & LEARN: RESEARCH & PRACT
EDST617	DESIGN & IMPL ICT LEARN ENVIRO
EDTS300	CURRICULUM DESIGN & EVALUATION
EDTS421	REFLECTIVE CLASSROOM RESEARCH
EDTS425	CURRICULUM IN ACTION
EDTS426	DEVT OF POSITIVE CLASSROOM BEH
EDTS505	CURRICULUM IN ACTION
EDTS508	DEVT OF POSITIVE CLASSROOM BEH
EDTS513	CONTEXTUAL ISSUES INC LEARNING
EDTS514	ASSESSMENT IN INCLUSIVE EDUC
EDTS515	INCLUSIVE TEACHING PRACTICES
EDTS516	INCL SCHOOL COMMUNITY PRAC
EDTS602	TEACHER GROWTH & CHANGE
EDTS604	CREATING COLLAB LEARN COMMUNIT
EDTS607	MENTORING PROF LEARN'G & DEV
EDTS608	PROF PORTFOLIOS IN ACTION
EDTS618	CURRENT ISSUES IN ED LEARNING
ENGL102	AUST LITERATURE: INTRODUCTION
ENGL104	INTRODUCTION TO LITERATURE
ENGL105	ENGLISH LANGUAGE COMM SKILLS
ENGL109	WRITING THE CITY
ENGL200	NINETEENTH-CENTURY LITERATURE
ENGL202	TWENTIETH-CENTURY LITERATURE
ENGL204	AMERICAN LITERATURE
ENGL205	AUST CHILDREN'S LITERATURE
ENGL206	WOMEN &  LITERATURE
ENGL208	CREATIVE WRITING
ENGL210	SHAKESPEARE & THE RENAISSANCE
ENGL213	SACRED AUSTRALIA
ENGL215	LITERATURE FOR YOUNG ADULTS
ENGL216	MYTH EPIC AND ROMANCE
ENGL221	CULTURAL STUDIES
ENGL222	LITERATURE & VISUAL TEXT
ENGL223	Postcolonial Experiences
ENGL224	THE ROMANTIC IMAGINATION
ENGL229	READING AND WRITING THE SELF
ENGL327	ENG LIT BEFORE SHAKESPEARE
ENGL328	FURTHER STUDIES IN AUS LIT
ENGL329	THE VISIONARY IMAGINATION
ENGL331	ASPECTS OF LITERARY THEORY
ENGL332	BOOK OF BOOKS:BIBLE & WEST LIT
ENVI204	SOILS AND WATER
ENVI206	ENVIRONMENT IMPACT ASSESSMENT
ENVI303	GEOGRAPHIC INFO SYSTEMS
ENVI305	WATER AND WASTE MANAGEMENT
ENVI403	ADVANCED COURSEWORK UNIT 1
ENVR100	ENVIRONMENTAL ISSUES
ENVR101	SOILS AND WATER
ENVR200	LANDSCAPE HYDROLOGY & MGMT
ENVR201	AUSTRALIAN ENVIRON:VAL&ETHIC
ENVR202	ENVI LEGISLATION & PLANNING
ENVR203	GEOGRAPHIC INFO SYSTEMS
ENVR204	ENVIRONMENTAL SUSTAINABILITY
ENVR300	APPLIED STUDIES 1: OH&S
ENVR301	APPLIED STUDIES 2: PROF DEVEL
ENVR302	ENVIRONMENTAL IMPACT ASSESS
ENVR308	PROFESSIONAL WORK EXPERIENCE
ENVR400	HONOURS THESIS A (FULL-TIME)
ENVR403	ADVANCED COURSEWORK UNIT 1
ENVR404	ADVANCED COURSEWORK UNIT 2
ENVR405	ADVANCED FIELD EXPERIENCE
ENVR406	HONOURS THESIS B (FULL-TIME)
ENVR407	HONOURS THESIS B (PART-TIME)
ERTH100	EARTH SCIENCE
ETHN101	CULTURAL TRADITIONS OF ASIA
ETHN105	SOCIAL TRANS. IN ASIAN SOC.
ETHN106	DISCOVERING AUSTRALIA
ETHN107	AUSTRALIAN SOCIETY
ETHN109	INDIGENCULTRE IN CONTMP AUSSOC
ETHN208	MIGRATN IN ASIA-PACIFIC REGION
ETHN215	JAPANESE SOCIETY & CULTURES
ETHN217	ECONOMIC DEVELOPMENT IN ASIA
ETHN218	ASIAN STUDIES: INDEPEN STUDY
ETHN219	POST-CONTACT INDIGENOUS HIST
ETHN301	AUST STUDIES:INDEPENDENT STUDY
EXSC100	INTRO-RESEARCH METHODS EX-SC
EXSC101	ETHICAL LEADERSHIP IN SPORT
EXSC102	PLANNING AN ANNUAL PROGRAM
EXSC103	TALENT OPTIM. & SKILL LEARNING
EXSC104	INDUSTRY PRACTICUM 1
EXSC110	ANATOMICAL BASES EXERCISE SC
EXSC112	FUNCTIONAL ANATOMY
EXSC113	INDUSTRY EXPERIENCE 1
EXSC114	PROFESSIONAL EXPERIENCE 1
EXSC120	MECHANICAL BASES EXERCISE SC
EXSC130	FOUNDATIONS MOTOR DEV & BEHAVR
EXSC131	COACHING PRINCIPLES
EXSC140	PHYSIOLOGICAL BASES EXER SC
EXSC141	TRAIN. & CONDITION. PRINCIPLES
EXSC180	PROMOTION OF HEALTH LIFESTYLES
EXSC181	HEALTH PROM & PREVENT DISEASE
EXSC187	GROWTH, MOTOR DEVEL. & AGEING
EXSC189	RES. & ETHICS IN EX. SCIENCE
EXSC190	FOUNDATIONS OF OUTDOOR EXP
EXSC191	JOURNEY IN THE NATURAL WORLD
EXSC198	HEALTH, FITNESS & PERFORMANCE
EXSC199	PSYCH. SPORT & PHYS. ACTIVITY
EXSC200	SOC&EMOT WELLBEING: YNG PEOPLE
EXSC201	FOUNDATIONS OF OUTDOOR EXP
EXSC202	JOURNEY IN THE NATURAL WORLD
EXSC203	GAMES AND SPORTS SKILLS
EXSC204	EXERCISE, TEST & PRESCRIPTION
EXSC205	INDUSTRY EXPERIENCE 2
EXSC206	PROFESSIONAL EXPERIENCE 2
EXSC207	LEADERSHIP BEHAVIOUR
EXSC208	FIN. DECISION-MAKING & CONTROL
EXSC209	PSYCH. OF HIGH PERF. COMP.
EXSC210	FUNCTIONAL ANATOMY
EXSC211	PERFORMANCE ANALYSES
EXSC212	COMP. PLAN, SRAT & TACTICS
EXSC213	ACQUIRING & RETAINING SKILL
EXSC214	INDUSTRY PRACTICUM 2
EXSC220	BIOMECHANICS
EXSC230	MOTOR CONTROL & LEARNING
EXSC231	ISSUES IN COACHING
EXSC235	SPORT PSYCHOLOGY
EXSC236	EXERCISE PSYCHOLOGY
EXSC240	EXERCISE PHYSIOLOGY
EXSC241	PROGRAMMING RESISTANCE TRNG
EXSC250	HPE 2 - GYMNASTICS & DANCE
EXSC260	INTRO TO SPORT MANAGEMENT
EXSC261	SPORT POLICY MAKING & PLANNING
EXSC268	FIN. MGMT. SPORT & EXERCISE
EXSC280	DRUGS & SOC:HLTH PROM PERSPCTV
EXSC281	INTERPERSONAL HEALTH
EXSC290	MARINE ENVIRONMENT & OUTDR EXP
EXSC291	ALPINE ECOLOGY & OUTDOOR EXP
EXSC292	EXERCISE METABOLISM
EXSC293	NEURAL BASES OF HUMAN MOVE.
EXSC294	OUTDOOR ENV. & THER. INTERV.
EXSC295	FOUND. OF HEALTH PROMOTION
EXSC296	HEALTH & EX. PSYCHOLOGY
EXSC300	ETHICS LAW & EXER SCI PRACTICE
EXSC301	CONFLICT RESOLUTION
EXSC302	LONG TERM PROGRAM PLANNING
EXSC304	ANTICIPATION & DECISION MAKING
EXSC305	DIRECTED RESEARCH STUDY
EXSC306	INDEPEND STUDY IN EXERCISE STU
EXSC307	INDUSTRY PRACTICUM 3
EXSC310	COACHING SCIENCE
EXSC311	AUS. SPORT & EX. INDUSTRY
EXSC312	RIVER JOURN. & CONN. TO PLACE
EXSC313	AQUATICS AND ATHLETICS
